Latitude,Longitude,Station,Zone
51.5178,-0.0823,Liverpool Street,1
51.5052,-0.0864,London Bridge,1
51.5037,0.0488,London City Airport,3
51.6412,0.0558,Loughton,6
51.53,-0.1854,Maida Vale,2
51.5712,-0.0958,Manor House,2.5
51.5122,-0.094,Mansion House,1
51.5136,-0.1586,Marble Arch,1
51.5225,-0.1631,Marylebone,1
51.5249,-0.0332,Mile End,2
51.6082,-0.2103,Mill Hill East,4
51.5108,-0.0863,Monument,1
51.6294,-0.432,Moor Park,6.5
51.5186,-0.0886,Moorgate,1
51.4022,-0.1948,Morden,4
51.5342,-0.1387,Mornington Crescent,2
51.4902,-0.0145,Mudchute,2
51.5542,-0.2503,Neasden,3
51.4767,-0.0327,New Cross,2
51.4757,-0.0402,New Cross Gate,2
51.5756,0.0899,Newbury Park,4
51.5237,-0.2597,North Acton,2.5
51.5175,-0.2887,North Ealing,3
51.5005,0.0039,North Greenwich,2.5
51.5846,-0.3626,North Harrow,5
51.5621,-0.3034,North Wembley,4
51.4995,-0.3142,Northfields,3
51.5483,-0.3687,Northolt,5
51.5784,-0.3184,Northwick Park,4
51.6111,-0.424,Northwood,6
51.6004,-0.4092,Northwood Hills,6
51.5094,-0.1967,Notting Hill Gate,1.5
51.6476,-0.1318,Oakwood,5
51.5263,-0.0873,Old Street,1
51.4813,-0.3522,Osterley,4
51.4819,-0.113,Oval,2
51.515,-0.1415,Oxford Circus,1
51.5154,-0.1755,Paddington,1
51.527,-0.2841,Park Royal,3
51.4753,-0.2011,Parsons Green,2
51.5366,-0.3232,Perivale,4
51.5098,-0.1342,Piccadilly Circus,1
51.4893,-0.1334,Pimlico,1
51.5926,-0.3805,Pinner,5
51.5313,0.0172,Plaistow,3
51.5021,0.0319,Pontoon Dock,3
51.5077,-0.0173,Poplar,2
51.572,-0.2954,Preston Road,4
51.5093,0.0336,Prince Regent,3
51.5343,-0.0139,Pudding Mill Lane,2.5
51.4682,-0.2089,Putney Bridge,2
51.5341,-0.2047,Queen's Park,2
51.5942,-0.2861,Queensbury,4
51.5107,-0.1877,Queensway,1
51.4942,-0.2359,Ravenscourt Park,2
51.5753,-0.3714,Rayners Lane,5
51.5763,0.0454,Redbridge,4
51.5234,-0.1466,Regent's Park,1
51.4633,-0.3013,Richmond,4
51.6404,-0.4733,Rickmansworth,7
51.6171,0.0439,Roding Valley,4
51.501,-0.0525,Rotherhithe,2
51.5084,0.0465,Royal Albert,3
51.519,-0.188,Royal Oak,2
51.5091,0.0181,Royal Victoria,3
51.5715,-0.4213,Ruislip,6
51.5606,-0.4103,Ruislip Gardens,5
51.5732,-0.4125,Ruislip Manor,6
51.523,-0.1244,Russell Square,1
51.5822,-0.0749,Seven Sisters,3
51.5117,-0.056,Shadwell,2
51.5046,-0.2187,Shepherd's Bush (C),2
51.5058,-0.2265,Shepherd's Bush (H),2
51.5227,-0.0708,Shoreditch,2
51.4924,-0.1565,Sloane Square,1
51.5808,0.0216,Snaresbrook,4
51.5011,-0.3072,South Ealing,3
51.5646,-0.3521,South Harrow,5
51.4941,-0.1738,South Kensington,1
51.5701,-0.3081,South Kenton,4
51.5007,-0.0191,South Quay,2
51.5569,-0.3988,South Ruislip,5
51.4154,-0.1919,South Wimbledon,3.5
51.5917,0.0275,South Woodford,4
51.4454,-0.2066,Southfields,3
51.6322,-0.128,Southgate,4
51.504,-0.1052,Southwark,1
51.4994,-0.1335,St. James's Park,1
51.5347,-0.174,St. John's Wood,2
51.5146,-0.0973,St. Paul's,1
51.495,-0.2459,Stamford Brook,2
51.6194,-0.3028,Stanmore,5
51.5221,-0.047,Stepney Green,2
51.4723,-0.123,Stockwell,2
51.5439,-0.2759,Stonebridge Park,3
51.5416,-0.0042,Stratford,2.5
51.5569,-0.3366,Sudbury Hill,4
51.5507,-0.3156,Sudbury Town,4
51.4933,-0.0478,Surrey Quays,2
51.5432,-0.1738,Swiss Cottage,2
51.5111,-0.1141,Temple,1
51.6717,0.1033,Theydon Bois,6
51.4361,-0.1598,Tooting Bec,3
51.4275,-0.168,Tooting Broadway,3
51.5165,-0.131,Tottenham Court Road,1
51.5882,-0.0594,Tottenham Hale,3
51.6302,-0.1791,Totteridge & Whetstone,4
51.5106,-0.0743,Tower Gateway,1
51.5098,-0.0766,Tower Hill,1
51.5567,-0.1374,Tufnell Park,2
51.4951,-0.2547,Turnham Green,2.5
51.5904,-0.1028,Turnpike Lane,3
51.559,0.251,Upminster,6
51.5582,0.2343,Upminster Bridge,6
51.5385,0.1014,Upney,4
51.5352,0.0343,Upton Park,3
51.5463,-0.4786,Uxbridge,6
51.4861,-0.1253,Vauxhall,1.5
51.4965,-0.1447,Victoria,1
51.583,-0.0195,Walthamstow Central,3
51.5775,0.0288,Wanstead,4
51.5043,-0.0558,Wapping,2
51.5247,-0.1384,Warren Street,1
51.5235,-0.1835,Warwick Avenue,2
51.5036,-0.1143,Waterloo,1
51.6573,-0.4177,Watford,7
51.5519,-0.2963,Wembley Central,4
51.5635,-0.2795,Wembley Park,4
51.518,-0.2809,West Acton,3
51.4872,-0.1953,West Brompton,2
51.6095,-0.1883,West Finchley,4
51.5287,0.0056,West Ham,2.5
51.5469,-0.1906,West Hampstead,2
